Screen size,Screen type,Chip,RAM,ROM,Batery,OS,Screen resolution,Price,Mobile network,Camera count,Camera max MP
6.56,AMOLED,snapdragon,12288.0,262144.0,4200.0,android,2592000.0,13290,5.0,0,108.0
6.5,PLS TFT LCD,mediatek helio,4096.0,131072.0,4300.0,android,2592000.0,5190,5.0,0,108.0
6.5,IPS LCD,mediatek dimensity,8192.0,131072.0,5000.0,android,2592000.0,6790,5.0,0,108.0
6.5,IPS LCD,spreadtrum,3072.0,32768.0,5000.0,android,1152000.0,3290,5.0,0,108.0
6.67,PLS TFT LCD,mediatek helio,4096.0,65536.0,5000.0,android,2332800.0,3600,5.0,0,108.0
6.1,IPS LCD,apple,3072.0,131072.0,2942.0,ios,1483776.0,13000,5.0,0,108.0
6.1,OLED,apple,4096.0,524288.0,3200.0,ios,2962440.0,25500,5.0,0,108.0
6.4,PLS TFT LCD,snapdragon,3072.0,32768.0,4000.0,android,1123200.0,2650,5.0,0,108.0
6.1,OLED,apple,4096.0,262144.0,2406.0,ios,2962440.0,19990,5.0,0,108.0
6.58,IPS LCD,helio,8192.0,131072.0,5000.0,android,2592000.0,4990,5.0,0,108.0
6.52,IPS LCD,unisoc,3072.0,32768.0,5050.0,android,1152000.0,2690,5.0,0,108.0
2.4,PLS TFT LCD,unisoc,2048.0,128.0,1150.0,ios,76800.0,829,5.0,0,108.0
6.44,AMOLED,dimensity,8192.0,131072.0,4000.0,android,2592000.0,8500,5.0,0,108.0
6.7,OLED,apple,6144.0,524288.0,2406.0,ios,3566952.0,31000,5.0,0,108.0
6.43,AMOLED,snapdragon,4096.0,65536.0,5000.0,android,2592000.0,4250,5.0,0,108.0
6.5,PLS TFT LCD,exynos,3072.0,32768.0,5000.0,android,1152000.0,4250,5.0,0,108.0
2.4,PLS TFT LCD,snapdragon,2048.0,4096.0,1500.0,ios,76800.0,990,5.0,0,108.0
6.4,AMOLED,snapdragon,8192.0,131072.0,4500.0,android,2592000.0,7590,5.0,0,108.0
6.67,PLS TFT LCD,mediatek helio,4096.0,131072.0,5000.0,android,2332800.0,3890,5.0,0,108.0
6.44,AMOLED,snapdragon,8192.0,131072.0,4500.0,android,2592000.0,6590,5.0,0,108.0
6.5,IPS LCD,snapdragon,6144.0,131072.0,5000.0,android,1152000.0,4390,5.0,0,108.0
6.5,IPS LCD,spreadtrum,4096.0,131072.0,5000.0,android,1152000.0,3990,5.0,0,108.0
5.8,PLS TFT LCD,apple,4096.0,524288.0,3046.0,ios,2740500.0,27000,5.0,0,108.0
6.5,IPS LCD,snapdragon,8192.0,131072.0,5000.0,android,1152000.0,4990,5.0,0,108.0
6.5,PLS TFT LCD,snapdragon,3072.0,32768.0,5000.0,android,2073600.0,3100,5.0,0,108.0
6.1,OLED,apple,6144.0,262144.0,3095.0,ios,2962440.0,32500,5.0,0,108.0
6.52,IPS LCD,mediatek helio,3072.0,32768.0,6000.0,ios,1152000.0,3490,5.0,0,108.0
6.43,AMOLED,snapdragon,8192.0,131072.0,5000.0,android,2592000.0,5790,5.0,0,108.0
6.7,PLS TFT LCD,exynos,8192.0,131072.0,4500.0,android,4608000.0,16500,5.0,0,108.0
6.5,PLS TFT LCD,snapdragon,4096.0,65536.0,5000.0,android,1152000.0,3350,5.0,0,108.0
6.39,IPS LCD,snapdragon,4096.0,131072.0,4000.0,android,1123200.0,3990,5.0,0,108.0
6.5,IPS LCD,unisoc,4096.0,65536.0,5000.0,android,1152000.0,3190,5.0,0,108.0
6.59,PLS TFT LCD,snapdragon,12288.0,524288.0,6000.0,android,2527200.0,20490,5.0,0,108.0
6.67,PLS TFT LCD,mediatek helio,6144.0,131072.0,5000.0,android,2332800.0,4490,5.0,0,108.0
6.44,PLS TFT LCD,snapdragon,8192.0,131072.0,4500.0,android,2592000.0,5190,5.0,0,108.0
6.44,PLS TFT LCD,snapdragon,8192.0,131072.0,4500.0,android,2592000.0,5190,5.0,0,108.0
6.5,IPS LCD,spreadtrum,4096.0,65536.0,5000.0,android,1152000.0,3790,5.0,0,108.0
6.58,IPS LCD,mediatek dimensity,8192.0,131072.0,5000.0,android,2592000.0,5790,5.0,0,108.0
5.4,OLED,apple,4096.0,262144.0,2406.0,ios,2527200.0,19990,5.0,0,108.0
6.7,PLS TFT LCD,snapdragon,8192.0,262144.0,3300.0,android,2604960.0,20990,5.0,0,108.0
6.5,IPS LCD,spreadtrum,4096.0,65536.0,5000.0,android,1152000.0,3790,5.0,0,108.0
6.26,PLS TFT LCD,snapdragon,8192.0,131072.0,3750.0,android,2527200.0,8290,5.0,0,108.0
6.6,PLS TFT LCD,snapdragon,2048.0,4096.0,1500.0,ios,2604960.0,1390,5.0,0,108.0
6.52,IPS LCD,mediatek,4096.0,65536.0,2406.0,android,1152000.0,3790,5.0,0,108.0
6.8,AMOLED,exynos,12288.0,262144.0,5000.0,android,4608000.0,29800,5.0,0,108.0
6.67,IPS LCD,snapdragon,8192.0,131072.0,5000.0,android,2592000.0,10200,5.0,0,108.0
4.7,Liquid Retina,apple,4096.0,262144.0,1820.0,ios,1000500.0,15990,5.0,0,108.0
6.1,OLED,apple,6144.0,524288.0,2406.0,ios,2962440.0,27500,5.0,0,108.0
6.5,PLS TFT LCD,mediatek helio,3072.0,32768.0,5000.0,android,1152000.0,2790,5.0,0,108.0
6.4,PLS TFT LCD,exynos,4096.0,65536.0,4000.0,android,1123200.0,4150,5.0,0,108.0
6.5,PLS TFT LCD,snapdragon,4096.0,65536.0,5000.0,android,1152000.0,2490,5.0,0,108.0
6.47,PLS TFT LCD,mediatek,4096.0,131072.0,5000.0,android,1123200.0,2990,5.0,0,108.0
6.7,AMOLED,exynos,8192.0,262144.0,4800.0,android,2592000.0,23000,5.0,0,108.0
6.47,PLS TFT LCD,mediatek,4096.0,131072.0,5000.0,android,1123200.0,2990,5.0,0,108.0
